role_id,code,right_level

## Administrator
1,ADMIN,WRITE
1,PART,WRITE
1,PART_MAPPING,WRITE
1,DAMAGE,WRITE
1,ROUTING_COMPONENT,WRITE
1,ROUTING,WRITE
1,REQUEST,WRITE
1,FILTERING,WRITE
1,DRT_INTERNAL_INSPECTION,WRITE
1,DRT_QUALITY_CHECK,WRITE

## Internal Operator
2,ADMIN,NONE
2,PART,READ
2,PART_MAPPING,READ
2,DAMAGE,READ
2,ROUTING_COMPONENT,NONE
2,ROUTING,READ
2,REQUEST,READ
2,FILTERING,READ
2,DRT_INTERNAL_INSPECTION,WRITE
2,DRT_QUALITY_CHECK,READ

## Technical Responsible
3,ADMIN,NONE
3,PART,READ
3,PART_MAPPING,READ
3,DAMAGE,READ
3,ROUTING_COMPONENT,NONE
3,ROUTING,READ
3,REQUEST,READ
3,FILTERING,READ
3,DRT_INTERNAL_INSPECTION,READ
3,DRT_QUALITY_CHECK,READ

## Manager
4,ADMIN,WRITE
4,PART,READ
4,PART_MAPPING,READ
4,DAMAGE,READ
4,ROUTING_COMPONENT,NONE
4,ROUTING,READ
4,REQUEST,WRITE
4,FILTERING,READ
4,DRT_INTERNAL_INSPECTION,READ
4,DRT_QUALITY_CHECK,READ

## Preparator
5,ADMIN,NONE
5,PART,READ
5,PART_MAPPING,READ
5,DAMAGE,READ
5,ROUTING_COMPONENT,WRITE
5,ROUTING,WRITE
5,REQUEST,READ
5,FILTERING,READ
5,DRT_INTERNAL_INSPECTION,READ
5,DRT_QUALITY_CHECK,NONE

## Filtering Officer
6,ADMIN,NONE
6,PART,READ
6,PART_MAPPING,READ
6,DAMAGE,READ
6,ROUTING_COMPONENT,NONE
6,ROUTING,READ
6,REQUEST,READ
6,FILTERING,WRITE
6,DRT_INTERNAL_INSPECTION,READ
6,DRT_QUALITY_CHECK,NONE

## Design Officer
7,ADMIN,NONE
7,PART,WRITE
7,PART_MAPPING,WRITE
7,DAMAGE,WRITE
7,ROUTING_COMPONENT,NONE
7,ROUTING,READ
7,REQUEST,WRITE
7,FILTERING,READ
7,DRT_INTERNAL_INSPECTION,READ
7,DRT_QUALITY_CHECK,NONE

## Dynamic Expert
8,ADMIN,NONE
8,PART,READ
8,PART_MAPPING,READ
8,DAMAGE,READ
8,ROUTING_COMPONENT,NONE
8,ROUTING,READ
8,REQUEST,WRITE
8,FILTERING,READ
8,DRT_INTERNAL_INSPECTION,READ
8,DRT_QUALITY_CHECK,NONE

## Quality Controler
9,ADMIN,NONE
9,PART,READ
9,PART_MAPPING,READ
9,DAMAGE,READ
9,ROUTING_COMPONENT,NONE
9,ROUTING,READ
9,REQUEST,READ
9,FILTERING,READ
9,DRT_INTERNAL_INSPECTION,READ
9,DRT_QUALITY_CHECK,WRITE

